meas_idx,obs_idx,sat_id,start_time,end_time,used,max_rh,max_amp,mean_amp,num_recs
2,86,65535,65535,65535,true,NaN,NaN,NaN,4294967295
2,87,65535,65535,65535,true,NaN,NaN,NaN,4294967295
2,88,65535,65535,65535,true,NaN,NaN,NaN,4294967295
2,89,65535,65535,65535,true,NaN,NaN,NaN,4294967295
2,90,65535,65535,65535,true,NaN,NaN,NaN,4294967295
2,91,65535,65535,65535,true,NaN,NaN,NaN,4294967295
2,92,65535,65535,65535,true,NaN,NaN,NaN,4294967295
2,93,65535,65535,65535,true,NaN,NaN,NaN,4294967295
2,94,65535,65535,65535,true,NaN,NaN,NaN,4294967295
2,95,65535,65535,65535,true,NaN,NaN,NaN,4294967295
2,96,65535,65535,65535,true,NaN,NaN,NaN,4294967295
2,97,65535,65535,65535,true,NaN,NaN,NaN,4294967295
2,98,65535,65535,65535,true,NaN,NaN,NaN,4294967295
2,99,65535,65535,65535,true,NaN,NaN,NaN,4294967295
2,100,65535,65535,65535,true,NaN,NaN,NaN,4294967295
2,101,65535,65535,65535,true,NaN,NaN,NaN,4294967295
2,102,65535,65535,65535,true,NaN,NaN,NaN,4294967295
2,103,65535,65535,65535,true,NaN,NaN,NaN,4294967295
2,104,65535,65535,65535,true,NaN,NaN,NaN,4294967295
2,105,65535,65535,65535,true,NaN,NaN,NaN,4294967295
2,106,65535,65535,65535,true,NaN,NaN,NaN,4294967295
2,107,65535,65535,65535,true,NaN,NaN,NaN,4294967295
2,108,65535,65535,65535,true,NaN,NaN,NaN,4294967295
2,109,65535,65535,65535,true,NaN,NaN,NaN,4294967295
2,110,65535,65535,65535,true,NaN,NaN,NaN,4294967295
2,111,65535,65535,65535,true,NaN,NaN,NaN,4294967295
2,112,65535,65535,65535,true,NaN,NaN,NaN,4294967295
2,113,65535,65535,65535,true,NaN,NaN,NaN,4294967295
2,114,65535,65535,65535,true,NaN,NaN,NaN,4294967295
2,115,65535,65535,65535,true,NaN,NaN,NaN,4294967295
2,116,65535,65535,65535,true,NaN,NaN,NaN,4294967295
2,117,65535,65535,65535,true,NaN,NaN,NaN,4294967295
2,118,65535,65535,65535,true,NaN,NaN,NaN,4294967295
2,119,65535,65535,65535,true,NaN,NaN,NaN,4294967295
2,120,65535,65535,65535,true,NaN,NaN,NaN,4294967295
2,121,65535,65535,65535,true,NaN,NaN,NaN,4294967295
2,122,65535,65535,65535,true,NaN,NaN,NaN,4294967295
2,123,65535,65535,65535,true,NaN,NaN,NaN,4294967295
2,124,65535,65535,65535,true,NaN,NaN,NaN,4294967295
2,125,65535,65535,65535,true,NaN,NaN,NaN,4294967295
2,126,65535,65535,65535,true,NaN,NaN,NaN,4294967295
2,127,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,0,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,1,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,2,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,3,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,4,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,5,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,6,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,7,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,8,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,9,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,10,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,11,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,12,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,13,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,14,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,15,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,16,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,17,65535,65535,65535,true,NaN,NaN,NaN,4294967295
3,18,65535,65535,65535,true,NaN,NaN,NaN,4294967295
